p_name,release_date,specs,price_bdt,category,source
Acer Swift Go 14 SFG14-73 Series 1,2026,Processor: Core Ultra 7 | Gen: Ultra | RAM: 16GB | Storage: 1TB SSD | GPU: Intel Arc Graphics | GPU Mem: Shared | Display: 14 | Color: Pure Silver,146000,laptop,Ryans
Acer Swift Go 14 SFG14-73 Series 1,2026,Processor: Core Ultra 7 | Gen: Ultra | RAM: 16GB | Storage: 1TB SSD | GPU: Intel Arc Graphics | GPU Mem: Shared | Display: 14 | Color: Frost Blue,148000,laptop,Ryans
Acer Swift Lite SFL14-54M Series 1 ,2026,Processor: Core Ultra 5 | Gen: Ultra | RAM: 16GB | Storage: 512GB SSD | GPU: Intel Graphics | GPU Mem: Shared | Display: 14 | Color: Sunset Copper,107000,laptop,Ryans
Acer TravelLite TL14-52M-i3 ,2026,Processor: Core i3 | Gen: 13th (Intel) | RAM: 8GB | Storage: 512GB SSD | GPU: Intel UHD Graphics | GPU Mem: Shared | Display: 14 | Color: Silver,61000,laptop,Ryans
Acer TravelLite TL14-52M-i5 ,2026,Processor: Core i5 | Gen: 13th (Intel) | RAM: 8GB | Storage: 512GB SSD | GPU: Intel Iris Xe Graphics | GPU Mem: Shared | Display: 14 | Color: Silver,83000,laptop,Ryans
Acer TravelLite TL24-53M Series 1,2026,Processor: Core 7 | Gen: Core Series 1 | RAM: 16GB | Storage: 512GB SSD | GPU: Intel Graphics | GPU Mem: Shared | Display: 14 | Color: Silver,118000,laptop,Ryans
Acer TravelMate P214-54,2026,Processor: Core i3 | Gen: 12th (Intel) | RAM: 8GB | Storage: 512GB SSD | GPU: Intel UHD Graphics | GPU Mem: Shared | Display: 14 | Color: Black,54900,laptop,Ryans
Acer TravelMate P6 TMP-614-53,2026,Processor: Core i5 | Gen: 13th (Intel) | RAM: 16GB | Storage: 1TB SSD | GPU: Intel Iris Xe Graphics | GPU Mem: Shared | Display: 14 | Color: Galaxy Black,120000,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 512GB SSD | GPU: Apple 8-Core GPU | GPU Mem: Shared | Display: 13.6 | Color: Starlight,151900,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 512GB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 15.3 | Color: Starlight,184000,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 1TB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 13.6 | Color: Starlight,184000,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 1TB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 13.6 | Color: Sky Blue,184000,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 1TB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 13.6 | Color: Silver,184000,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 24GB | Storage: 1TB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 13.6 | Color: Midnight,209000,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 24GB | Storage: 1TB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 13.6 | Color: Silver,209000,laptop,Ryans
